date,1. open,2. high,3. low,4. close,5. volume,MA_20,RSI_14
2024-08-30,230.19,230.4,227.48,229.0,52990770.0,,
2024-08-29,230.1,232.92,228.88,229.79,51906297.0,,
2024-08-28,227.92,229.86,225.68,226.49,38052167.0,,
2024-08-27,225.995,228.85,224.89,228.03,35934559.0,,
2024-08-26,226.76,227.28,223.8905,227.18,30602208.0,,
2024-08-23,225.6589,228.22,224.33,226.84,38677250.0,,
2024-08-22,227.79,228.34,223.9,224.53,43695321.0,,
2024-08-21,226.52,227.98,225.05,226.4,34765480.0,,
2024-08-20,225.77,227.17,225.45,226.51,30299033.0,,
2024-08-19,225.72,225.99,223.04,225.89,40687813.0,,
2024-08-16,223.92,226.8271,223.6501,226.05,44340240.0,,
2024-08-15,224.6,225.35,222.76,224.72,46414013.0,,
2024-08-14,220.57,223.03,219.7,221.72,41960574.0,,
2024-08-13,219.01,221.89,219.01,221.27,44155331.0,,
2024-08-12,216.07,219.5099,215.6,217.53,38028092.0,,0.20258010870695609
2024-08-09,212.1,216.78,211.97,216.24,42201646.0,,0.1584909232998133
2024-08-08,213.11,214.2,208.83,213.31,47161149.0,,0.16174013139662324
2024-08-07,206.9,213.64,206.39,209.82,63516417.0,,0.07563890316564104
2024-08-06,205.3,209.99,201.07,207.23,69660488.0,,0.06863560513947539
2024-08-05,199.09,213.5,196.0,209.27,119548589.0,0.3119659112802686,0.1433335322162204
2024-08-02,219.15,225.6,217.71,219.86,105568560.0,0.3112807184179692,0.4206125037537322
2024-08-01,224.37,224.48,217.02,218.36,62500996.0,0.3104238525081133,0.36881452707788887
2024-07-31,221.44,223.82,220.63,222.08,50036262.0,0.3100932507003736,0.42994871659974965
2024-07-30,219.19,220.325,216.12,218.8,41643840.0,0.30940131086240596,0.3999842409735086
2024-07-29,216.96,219.3,215.75,218.24,36311778.0,0.30873111127936903,0.3917706721331278
2024-07-26,218.7,219.49,216.01,217.96,41601345.0,0.3080654096801109,0.4027777030947344
2024-07-25,218.93,220.85,214.62,217.49,51391199.0,0.30753764625006846,0.4318704243399305
2024-07-24,224.0,224.8,217.13,218.54,61777576.0,0.3069484103750494,0.45329048059001414
2024-07-23,224.365,226.94,222.68,225.01,39960260.0,0.3068359607805801,0.5857766027505731
2024-07-22,227.01,227.78,223.09,223.96,48201835.0,0.3066912756356963,0.589420744501945
2024-07-19,224.82,226.8,223.275,224.31,49151453.0,0.30656083410611196,0.6411269978325979
2024-07-18,230.28,230.44,222.27,224.18,66034585.0,0.30652035225210295,0.7064942826898224
2024-07-17,229.45,231.4599,226.64,228.88,57345884.0,0.30705711164970306,0.7971315424978882
2024-07-16,235.0,236.27,232.33,234.82,43234278.0,0.30807290631974227,0.8171604303431531
2024-07-15,236.48,237.23,233.09,234.4,62631252.0,0.30933758942554,0.7395991715981883
2024-07-12,228.92,232.64,228.68,230.54,53046527.0,0.3104096088928138,0.6839269173882213
2024-07-11,231.39,232.39,225.77,227.57,64710617.0,0.31147862970423507,0.5797950353595976
2024-07-10,229.3,233.08,229.25,232.98,62627687.0,0.3132148514428408,0.7064481808284973
2024-07-09,227.93,229.4,226.3721,228.68,48169822.0,0.31482288064375147,0.6336149593165802
2024-07-08,227.09,227.85,223.25,227.82,59085861.0,0.3162135072953549,0.6236047061229988
2024-07-05,221.65,226.45,221.65,226.34,60412408.0,0.31669928954346216,0.6068839154633987
2024-07-03,220.0,221.55,219.03,221.55,37369801.0,0.31693843234770025,0.5266653449432898
2024-07-02,216.15,220.38,215.1,220.27,58046178.0,0.31680274317037393,0.4258622968456843
2024-07-01,212.09,217.51,211.92,216.75,60402929.0,0.3166490620579326,0.39822087125441136
2024-06-28,215.77,216.07,210.3,210.62,82542718.0,0.3160778181180286,0.33735775377318683
2024-06-27,214.69,215.7395,212.35,214.1,49772707.0,0.31578844782826104,0.3854489202095017
2024-06-26,211.5,214.86,210.64,213.25,66213186.0,0.31547059030789454,0.3137154513100301
2024-06-25,209.15,211.38,208.61,209.07,56713868.0,0.31476065853481183,0.1874286512947288
2024-06-24,207.72,212.7,206.59,208.14,80727006.0,0.31349597542901403,0.18500473054884858
2024-06-21,210.39,211.89,207.11,207.49,246421353.0,0.3122612788817413,0.2012700485781135
2024-06-20,213.93,214.24,208.85,209.68,86172451.0,0.31116452050368426,0.26165946584804844
2024-06-18,217.59,218.63,213.0,214.29,79943254.0,0.3104231028441502,0.24654896857468006
2024-06-17,213.37,218.95,212.72,216.67,93728300.0,0.30950776314517026,0.3256986812540601
2024-06-14,213.85,215.17,211.3,212.49,70122748.0,0.3078337635155042,0.29731062182949647
2024-06-13,214.74,216.75,211.6,214.24,97862729.0,0.3063224409658371,0.33903585203284237
2024-06-12,207.37,220.2,206.9,213.07,198134293.0,0.3050127780222515,0.3740634656653125
2024-06-11,193.65,207.16,193.63,207.15,172373296.0,0.30348196420954315,0.3302581151694663
2024-06-10,196.9,197.3,192.15,193.12,97262077.0,0.30049380365251277,0.2596954080040498
2024-06-07,194.65,196.94,194.14,196.89,53103912.0,0.2981106219137272,0.3501008592232129
2024-06-06,195.685,196.5,194.17,194.48,41181753.0,0.2956112422606567,0.28546120045873713
2024-06-05,195.4,196.9,194.87,195.87,54156785.0,0.2933270161650041,0.31085764380352915
2024-06-04,194.635,195.32,193.0342,194.35,47471445.0,0.2912879301852944,0.32972955987454367
2024-06-03,192.9,194.99,192.52,194.03,50080539.0,0.2893208119460452,0.33436305074602324
2024-05-31,191.44,192.57,189.91,192.25,75158277.0,0.28748413523638033,0.325873822443799
2024-05-30,190.76,192.18,190.63,191.29,49947941.0,0.2860350347956529,0.2865407673833996
2024-05-29,189.61,192.247,189.51,190.29,53068016.0,0.28425008489944387,0.20172663063600352
2024-05-28,191.51,193.0,189.1,189.99,52280051.0,0.2825063665212069,0.1529820077774287
2024-05-24,188.82,190.58,188.0404,189.98,36326975.0,0.2810752580155946,0.17305333713124071
2024-05-23,190.98,191.0,186.625,186.88,51005924.0,0.2794814724299833,0.11846882469777595
2024-05-22,192.265,192.8231,190.27,190.9,34648547.0,0.2782377799151531,0.21025519251886154
2024-05-21,191.09,192.73,190.9201,192.35,42309401.0,0.2769386122670513,0.2802432856727158
2024-05-20,189.325,191.9199,189.01,191.04,44361275.0,0.2751956435527775,0.4448987916681893
2024-05-17,189.51,190.81,189.18,189.87,41282925.0,0.27318654413159305,0.3171144994666816
2024-05-16,190.47,191.095,189.6601,189.84,52845230.0,0.2714885552551069,0.3610587538426353
2024-05-15,187.91,190.65,187.37,189.72,70399988.0,0.2696503792175158,0.3061566579969205
2024-05-14,187.51,188.3,186.29,187.43,52393619.0,0.26772824081605423,0.2920138062017669
2024-05-13,185.435,187.1,184.62,186.28,72044809.0,0.266163692125005,0.27807398771012803
2024-05-10,184.9,185.09,182.13,183.05,50759496.0,0.2654087805141346,0.2564782016177166
2024-05-09,182.56,184.66,182.11,184.57,48982972.0,0.2644851945115602,0.3242061534178899
2024-05-08,182.85,183.07,181.45,182.74,45057087.0,0.2636050890188474,0.3108640792981451
2024-05-07,183.45,184.9,181.32,182.4,77305771.0,0.2625952916605132,0.3102470220638586
2024-05-06,182.354,184.2,180.42,181.71,78569667.0,0.2616477164111187,0.3000964998921248
2024-05-03,186.645,187.0,182.66,183.38,163224109.0,0.2608493242903869,0.40442017708452166
2024-05-02,172.51,173.415,170.89,173.03,94214915.0,0.25940847015325386,0.15327421782445871
2024-05-01,169.58,172.705,169.11,169.3,50383147.0,0.2577599590983342,0.08920798914243835
2024-04-30,173.33,174.99,170.0,170.33,65934776.0,0.25626362982792966,0.12648946795386287
2024-04-29,173.37,176.03,173.1,173.5,68169419.0,0.2550274339527307,0.2212629254079638
2024-04-26,169.88,171.34,169.18,169.3,44838354.0,0.25347712887698093,0.1925561637447891
2024-04-25,169.525,170.61,168.1511,169.89,50558329.0,0.2522034498036255,0.2066356677337579
2024-04-24,166.54,169.3,166.21,169.02,48251835.0,0.25056318505230035,0.2160769821613022
2024-04-23,165.35,167.05,164.92,166.9,49537761.0,0.24865529026613825,0.20954551113814382
2024-04-22,165.515,167.26,164.77,165.84,48116443.0,0.24676613707905437,0.2246857617736742
2024-04-19,166.21,166.4,164.075,165.0,68149377.0,0.24490172280275369,0.1818977041236732
2024-04-18,168.03,168.64,166.55,167.04,43122903.0,0.24319248896682066,0.24452787143450572
2024-04-17,169.61,170.65,168.0,168.0,50901210.0,0.2415642188389055,0.2690996241403645
2024-04-16,171.75,173.76,168.27,169.38,73711235.0,0.2402110753854585,0.30478284707153197
2024-04-15,175.36,176.63,172.5,172.69,73531773.0,0.23919228205956683,0.3369036336536327
2024-04-12,174.26,178.36,174.21,176.55,101670886.0,0.23870500048353327,0.552426772791017
2024-04-11,168.34,175.46,168.16,175.04,91070275.0,0.2379905707266718,0.5997530531073253
2024-04-10,168.8,169.09,167.11,167.78,49709336.0,0.2368690734378316,0.4511715518929356
2024-04-09,168.7,170.08,168.35,169.67,42231444.0,0.23591475121276895,0.4290215437828676
2024-04-08,169.03,169.2,168.24,168.45,37216858.0,0.23492069679766048,0.47550022322455426
2024-04-05,169.59,170.39,168.95,169.58,41975776.0,0.2338861605285431,0.4851728795285613
2024-04-04,170.29,171.92,168.82,168.82,53355055.0,0.233570552000066,0.4870739109027978
2024-04-03,168.79,170.68,168.58,169.65,45571129.0,0.23359679023877555,0.5408074094970461
2024-04-02,169.08,169.34,168.2302,168.84,49013991.0,0.23348509030826936,0.5458675843512523
2024-04-01,171.19,171.25,169.475,170.03,43772506.0,0.23322495691306377,0.5821347473311888
2024-03-28,171.75,172.23,170.51,171.48,65672690.0,0.2333883836570258,0.5731245419725176
2024-03-27,170.41,173.6,170.11,173.31,60273265.0,0.23364476873241574,0.5862799241682488
2024-03-26,170.0,171.42,169.58,169.71,57388449.0,0.23369649554587163,0.496084520449318
2024-03-25,170.565,171.94,169.45,170.85,54288328.0,0.23399261281130734,0.4574593038838267
2024-03-22,171.76,173.05,170.06,172.28,71160138.0,0.23447539640356213,0.40656839368473247
2024-03-21,177.05,177.49,170.84,171.37,106181270.0,0.23495293234807502,0.41666943324407446
2024-03-20,175.72,178.67,175.09,178.67,53423102.0,0.2358247915371935,0.7094997373388594
2024-03-19,174.34,176.605,173.03,176.08,55215244.0,0.23643052001940135,0.6159894687103794
2024-03-18,175.57,177.71,173.52,173.72,75604184.0,0.23675587417939908,0.5893822314831123
2024-03-15,171.17,172.62,170.285,172.62,121752699.0,0.23675062653165718,0.5476312578538125
2024-03-14,172.91,174.3078,172.05,173.0,72571635.0,0.23648449582474657,0.5701378950977943
2024-03-13,172.77,173.185,170.76,171.13,51948951.0,0.2361913772151633,0.5176925555830195
2024-03-12,173.15,174.03,171.01,173.23,59544927.0,0.23659994407506835,0.5674785717044203
2024-03-11,172.94,174.38,172.05,172.75,58929918.0,0.2368308405757119,0.5394061731706654
2024-03-08,169.0,173.7,168.94,170.73,76267041.0,0.23700176395930522,0.47736413560480045
2024-03-07,169.15,170.73,168.49,169.0,71765061.0,0.2369582834494438,0.41443251402972653
2024-03-06,171.06,171.24,168.68,169.12,68587707.0,0.23698077336833762,0.4787243221326882
2024-03-05,170.76,172.04,169.62,170.12,95132355.0,0.23701600757460467,0.4758333749776432
2024-03-04,176.15,176.9,173.79,175.1,81510101.0,0.2374852972155232,0.5405018706540378
2024-03-01,179.55,180.53,177.38,179.66,73563082.0,0.2382072236120159,0.620920582224111
2024-02-29,181.27,182.57,179.53,180.75,136682597.0,0.2389021621058361,0.5309726502918864
2024-02-28,182.51,183.12,180.13,181.42,48953939.0,0.23951013957993328,0.6024431881925181
2024-02-27,181.1,183.9225,179.56,182.63,54318851.0,0.24047870542029537,0.6864461077857332
2024-02-26,182.24,182.76,180.65,181.16,40867421.0,0.2412516089662809,0.6753784493157892
2024-02-23,185.01,185.04,182.23,182.52,45119677.0,0.24201926486452446,0.6883990086518293
2024-02-22,183.48,184.955,182.46,184.37,52292208.0,0.24299382801659158,0.7659263976613081
2024-02-21,181.94,182.8888,180.66,182.32,41529674.0,0.2432674553631335,0.6800010519561253
2024-02-20,181.79,182.43,180.0,181.56,53665553.0,0.2436782712149279,0.6720988475271302
2024-02-16,183.42,184.85,181.665,182.31,49752465.0,0.24432223255925534,0.7420155833054622
2024-02-15,183.55,184.49,181.35,183.86,65434496.0,0.24516485485381184,0.8157175668117814
2024-02-14,185.32,185.53,182.44,184.15,54630517.0,0.24600073017270013,0.817067338501347
2024-02-13,185.77,186.21,183.5128,185.04,56529529.0,0.24704351274541192,0.8161961886299522
2024-02-12,188.415,188.67,186.79,187.15,41781934.0,0.24808704498208684,0.7901806969939448
2024-02-09,188.65,189.99,188.0,188.85,45155216.0,0.24929400396272378,0.7558868734333717
2024-02-08,189.385,189.535,187.35,188.32,40962046.0,0.2506126628738668,0.7162363924081774
2024-02-07,190.64,191.05,188.61,189.41,53438955.0,0.25214272702261215,0.7230761638609935
2024-02-06,186.86,189.31,186.7695,189.3,43490759.0,0.25365554890020553,0.697596119530569
2024-02-05,188.15,189.25,185.84,187.68,69668820.0,0.25497195881945917,0.6911182069811578
2024-02-02,179.86,187.33,179.25,185.85,102551680.0,0.2557778475798224,0.5901854490038119
2024-02-01,183.985,186.95,183.82,186.86,64885408.0,0.25631760563327494,0.5688975703649023
2024-01-31,187.04,187.095,184.35,184.4,55467803.0,0.25659123297981684,0.5543933513284482
2024-01-30,190.94,191.8,187.47,188.04,55859370.0,0.25708751052340795,0.6601627794045214
2024-01-29,192.01,192.2,189.58,191.73,47145622.0,0.2577697047298549,0.7049227727091116
2024-01-26,194.27,194.76,191.94,192.42,44594011.0,0.2586138263523376,0.6930870340005396
2024-01-25,195.22,196.2675,193.1125,194.17,54822126.0,0.2594871848693823,0.7126588142042732
2024-01-24,195.42,196.38,194.34,194.5,53463269.0,0.26024659446403153,0.7054513107687104
2024-01-23,195.02,195.75,193.8299,195.18,42355590.0,0.2612106623206148,0.6853130851935957
2024-01-22,192.3,195.33,192.26,193.89,60133852.0,0.26213499798715234,0.6152173784149203
2024-01-19,189.33,191.95,188.82,191.56,68902985.0,0.26282843715304616,0.5642945301524842
2024-01-18,186.09,189.14,185.83,188.63,78005754.0,0.2631860268634585,0.47415856809484996
